Source table	Source row	Surface/site/trigger	Verdict	Disposition gap ID
behavior-config-table.tsv	286	examples/effect_providers/legacy_payment_http/legacy_payment_http_app/__main__.py:3	partial	CH-01
behavior-config-table.tsv	287	examples/effect_providers/legacy_payment_http/legacy_payment_http_app/__main__.py:10	partial	CH-01
behavior-config-table.tsv	288	examples/effect_providers/legacy_payment_http/legacy_payment_http_app/__main__.py:15	partial	CH-01
behavior-config-table.tsv	289	examples/effect_providers/legacy_payment_http/legacy_payment_http_app/__main__.py:20	partial	CH-01
behavior-config-table.tsv	291	examples/effect_providers/legacy_payment_http/legacy_payment_http_app/application.py:43	partial	CH-02
behavior-config-table.tsv	292	examples/effect_providers/legacy_payment_http/legacy_payment_http_app/application.py:44	partial	CH-03
behavior-config-table.tsv	293	examples/effect_providers/legacy_payment_http/legacy_payment_http_app/application.py:52	partial	CH-03
behavior-config-table.tsv	294	examples/effect_providers/legacy_payment_http/legacy_payment_http_app/application.py:71	partial	CH-02
behavior-config-table.tsv	295	examples/effect_providers/legacy_payment_http/legacy_payment_http_app/application.py:116	partial	CH-04
behavior-config-table.tsv	296	examples/effect_providers/legacy_payment_http/legacy_payment_http_app/application.py:118	partial	CH-04
behavior-config-table.tsv	297	examples/effect_providers/legacy_payment_http/legacy_payment_http_app/application.py:123	partial	CH-04
behavior-config-table.tsv	298	examples/effect_providers/legacy_payment_http/legacy_payment_http_app/application.py:125	partial	CH-04
behavior-config-table.tsv	426	examples/effect_providers/reminder_worker/reminder_cli.py:6	partial	CR-03
behavior-config-table.tsv	427	examples/effect_providers/reminder_worker/reminder_cli.py:31	partial	CR-03
behavior-config-table.tsv	428	examples/effect_providers/reminder_worker/reminder_cli.py:34	partial	CR-03
behavior-config-table.tsv	429	examples/effect_providers/reminder_worker/reminder_cli.py:35	partial	CR-03
behavior-config-table.tsv	430	examples/effect_providers/reminder_worker/reminder_cli.py:36	partial	CR-03
behavior-config-table.tsv	431	examples/effect_providers/reminder_worker/reminder_cli.py:38	partial	CR-03
behavior-config-table.tsv	432	examples/effect_providers/reminder_worker/reminder_cli.py:144	partial	CR-03
behavior-config-table.tsv	433	examples/effect_providers/reminder_worker/reminder_cli.py:146	partial	CR-03
behavior-config-table.tsv	434	examples/effect_providers/reminder_worker/reminder_cli.py:156	partial	CR-03
behavior-config-table.tsv	435	examples/effect_providers/reminder_worker/reminder_cli.py:166	partial	CR-03
behavior-config-table.tsv	436	examples/effect_providers/reminder_worker/reminder_cli.py:168	partial	CR-03
behavior-config-table.tsv	437	examples/effect_providers/reminder_worker/reminder_cli.py:170	partial	CR-03
behavior-config-table.tsv	438	examples/effect_providers/reminder_worker/reminder_cli.py:171	partial	CR-03
behavior-config-table.tsv	439	examples/effect_providers/reminder_worker/reminder_cli.py:177	partial	CR-03
behavior-errors-table.tsv	71	examples/effect_providers/atomic_publisher/application.py:49	partial	CA-02
behavior-errors-table.tsv	72	examples/effect_providers/atomic_publisher/application.py:52	partial	CA-02
behavior-errors-table.tsv	73	examples/effect_providers/atomic_publisher/application.py:54	partial	CA-02
behavior-errors-table.tsv	74	examples/effect_providers/atomic_publisher/application.py:86	partial	CA-02
behavior-errors-table.tsv	75	examples/effect_providers/atomic_publisher/application.py:96	partial	CA-02
behavior-errors-table.tsv	76	examples/effect_providers/atomic_publisher/application.py:103	partial	CA-02
behavior-errors-table.tsv	77	examples/effect_providers/atomic_publisher/application.py:108	partial	CA-02
behavior-errors-table.tsv	78	examples/effect_providers/atomic_publisher/application.py:120	partial	CA-02
behavior-errors-table.tsv	79	examples/effect_providers/atomic_publisher/application.py:122	partial	CA-02
behavior-errors-table.tsv	81	examples/effect_providers/atomic_publisher/atomic_cli.py:38	partial	CA-03
behavior-errors-table.tsv	157	examples/effect_providers/legacy_payment_http/legacy_payment_http_app/__main__.py:27	partial	CH-01
behavior-errors-table.tsv	158	examples/effect_providers/legacy_payment_http/legacy_payment_http_app/application.py:76	partial	CH-04
behavior-errors-table.tsv	159	examples/effect_providers/legacy_payment_http/legacy_payment_http_app/application.py:81	partial	CH-04
behavior-errors-table.tsv	160	examples/effect_providers/legacy_payment_http/legacy_payment_http_app/application.py:109	partial	CH-04
behavior-errors-table.tsv	161	examples/effect_providers/legacy_payment_http/legacy_payment_http_app/application.py:111	partial	CH-04
behavior-errors-table.tsv	229	examples/effect_providers/reminder_worker/app.py:100	partial	CR-02
behavior-errors-table.tsv	230	examples/effect_providers/reminder_worker/app.py:104	partial	CR-04
behavior-errors-table.tsv	231	examples/effect_providers/reminder_worker/app.py:110	partial	CR-04
behavior-errors-table.tsv	285	examples/effect_providers/reminder_worker/reminder_cli.py:82	partial	CR-03
behavior-errors-table.tsv	286	examples/effect_providers/reminder_worker/reminder_cli.py:104	partial	CR-03
behavior-errors-table.tsv	287	examples/effect_providers/reminder_worker/reminder_cli.py:117	partial	CR-03
behavior-errors-table.tsv	288	examples/effect_providers/reminder_worker/reminder_cli.py:124	partial	CR-03
behavior-errors-table.tsv	289	examples/effect_providers/reminder_worker/reminder_cli.py:140	partial	CR-03
behavior-errors-table.tsv	290	examples/effect_providers/reminder_worker/reminder_cli.py:145	partial	CR-03
behavior-errors-table.tsv	291	examples/effect_providers/reminder_worker/reminder_cli.py:147	partial	CR-03
behavior-errors-table.tsv	292	examples/effect_providers/reminder_worker/reminder_cli.py:204	partial	CR-03
behavior-fallbacks-table.tsv	102	examples/effect_providers/atomic_publisher/application.py:60	partial	CA-04
behavior-fallbacks-table.tsv	156	examples/effect_providers/legacy_payment_http/legacy_payment_http_app/application.py:49	partial	CH-04
behavior-fallbacks-table.tsv	157	examples/effect_providers/legacy_payment_http/legacy_payment_http_app/application.py:50	partial	CH-04
behavior-fallbacks-table.tsv	158	examples/effect_providers/legacy_payment_http/legacy_payment_http_app/application.py:51	partial	CH-04
behavior-fallbacks-table.tsv	159	examples/effect_providers/legacy_payment_http/legacy_payment_http_app/application.py:123	partial	CH-04
behavior-fallbacks-table.tsv	160	examples/effect_providers/legacy_payment_http/legacy_payment_http_app/application.py:125	partial	CH-04
behavior-fallbacks-table.tsv	207	examples/effect_providers/reminder_worker/app.py:87	partial	CR-02
behavior-fallbacks-table.tsv	208	examples/effect_providers/reminder_worker/app.py:88	partial	CR-02
behavior-fallbacks-table.tsv	209	examples/effect_providers/reminder_worker/app.py:89	partial	CR-02
behavior-fallbacks-table.tsv	210	examples/effect_providers/reminder_worker/app.py:118	partial	CR-02
behavior-fallbacks-table.tsv	218	examples/effect_providers/reminder_worker/reminder_cli.py:34	partial	CR-03
behavior-fallbacks-table.tsv	219	examples/effect_providers/reminder_worker/reminder_cli.py:35	partial	CR-03
behavior-fallbacks-table.tsv	220	examples/effect_providers/reminder_worker/reminder_cli.py:36	partial	CR-03
behavior-fallbacks-table.tsv	221	examples/effect_providers/reminder_worker/reminder_cli.py:154	partial	CR-03
behavior-fallbacks-table.tsv	222	examples/effect_providers/reminder_worker/reminder_cli.py:177	partial	CR-03
behavior-retries-table.tsv	28	examples/effect_providers/legacy_payment_http/legacy_payment_http_app/application.py:44	partial	CH-03
behavior-retries-table.tsv	29	examples/effect_providers/legacy_payment_http/legacy_payment_http_app/application.py:52	partial	CH-03
behavior-retries-table.tsv	30	examples/effect_providers/legacy_payment_http/legacy_payment_http_app/application.py:60	partial	CH-03
behavior-retries-table.tsv	31	examples/effect_providers/legacy_payment_http/legacy_payment_http_app/application.py:64	partial	CH-03
behavior-retries-table.tsv	32	examples/effect_providers/legacy_payment_http/legacy_payment_http_app/application.py:65	partial	CH-03
behavior-retries-table.tsv	33	examples/effect_providers/legacy_payment_http/legacy_payment_http_app/application.py:82	partial	CH-03
behavior-retries-table.tsv	34	examples/effect_providers/legacy_payment_http/legacy_payment_http_app/application.py:83	partial	CH-03
behavior-retries-table.tsv	35	examples/effect_providers/legacy_payment_http/legacy_payment_http_app/application.py:84	partial	CH-03
behavior-retries-table.tsv	36	examples/effect_providers/legacy_payment_http/legacy_payment_http_app/application.py:87	partial	CH-03
behavior-retries-table.tsv	37	examples/effect_providers/legacy_payment_http/legacy_payment_http_app/application.py:88	partial	CH-03
behavior-retries-table.tsv	38	examples/effect_providers/legacy_payment_http/legacy_payment_http_app/application.py:89	partial	CH-03
behavior-retries-table.tsv	39	examples/effect_providers/legacy_payment_http/legacy_payment_http_app/application.py:91	partial	CH-03
behavior-retries-table.tsv	40	examples/effect_providers/legacy_payment_http/legacy_payment_http_app/application.py:92	partial	CH-03
behavior-retries-table.tsv	41	examples/effect_providers/legacy_payment_http/legacy_payment_http_app/application.py:93	partial	CH-03
behavior-retries-table.tsv	42	examples/effect_providers/legacy_payment_http/legacy_payment_http_app/application.py:95	partial	CH-03
behavior-timeouts-table.tsv	73	examples/effect_providers/legacy_payment_http/legacy_payment_http_app/application.py:19	partial	CH-02
behavior-timeouts-table.tsv	74	examples/effect_providers/legacy_payment_http/legacy_payment_http_app/application.py:80	partial	CH-02
behavior-timeouts-table.tsv	75	examples/effect_providers/legacy_payment_http/legacy_payment_http_app/application.py:81	partial	CH-02
